Docente: Lic. Ana Morales Gutiérrez
Email Docente: ana.morales@umss.edu.bo
Materia: INF110 - INTRODUCCION A LA PROGRAMACION
Grupo: 1
Gestion: 2/2026

Codigo SIS,CI,Nombre Completo
202600001,7800001,BENITEZ REYES ANDRES
202600002,7800002,QUISPE PEREZ PATRICIA
202600003,7800003,REYES GONZALEZ CAMILA
202600004,7800004,ARCE GUTIERREZ LAURA
202600005,7800005,BENITEZ FERNANDEZ CARLOS
202600006,7800006,PEREZ CALLE ALEJANDRA
202600007,7800007,SALAZAR NAVARRO JOSE
202600008,7800008,PEREZ HUANCA CAROLINA
202600009,7800009,DELGADO ALVAREZ PATRICIA
202600010,7800010,PINTO GUTIERREZ RODRIGO
202600011,7800011,SANCHEZ JIMENEZ SILVIA
202600012,7800012,CORDERO ZARATE ALEJANDRA
202600013,7800013,FERNANDEZ MAMANI SOFIA
202600014,7800014,MORALES MORALES DIEGO
202600015,7800015,DELGADO CASTRO CLAUDIA
202600016,7800016,MENDOZA HERRERA SAMUEL
202600017,7800017,FERNANDEZ SALAZAR MIGUEL
202600018,7800018,MONTANO CABRERA MONICA
202600019,7800019,VELASCO NAVARRO IVAN
202600020,7800020,CASTRO CESPEDES JORGE
202600021,7800021,BARRIOS TORRES MARIANA
202600022,7800022,PEREZ GONZALEZ MARIO
202600023,7800023,SANCHEZ LIMACHI MIGUEL
202600024,7800024,LOPEZ CONDORI IVAN
202600025,7800025,ORTEGA CESPEDES ADRIANA
202600026,7800026,PINTO CAMACHO RICARDO
202600027,7800027,RIOS MONTANO ELENA
202600028,7800028,MENDOZA SOTO PAULA
202600029,7800029,LOPEZ LIMACHI PAOLA
202600030,7800030,SANCHEZ MONTANO MIGUEL
202600031,7800031,CAMACHO VARGAS SANTIAGO
202600032,7800032,PEREZ CASTRO ROSA
202600033,7800033,CHOQUE SANCHEZ ARTURO
202600034,7800034,ORTEGA VELASCO JORGE
202600035,7800035,ORTEGA AGUILAR ARTURO
202600036,7800036,CHOQUE AGUILAR JESSICA
202600037,7800037,JIMENEZ ROJAS SAMUEL
202600038,7800038,QUISPE REYES CAMILA
202600039,7800039,REYES ARCE CLAUDIA
202600040,7800040,ARCE CHOQUE ENRIQUE
