Docente: Ing. Carlos Mendoza Ríos
Email Docente: carlos.mendoza@umss.edu.bo
Materia: INF210 - ESTRUCTURA DE DATOS
Grupo: 2
Gestion: 2/2026

Codigo SIS,CI,Nombre Completo
202700001,7900001,HERRERA LIMACHI PAOLA
202700002,7900002,DELGADO LIMACHI CAMILA
202700003,7900003,SALAZAR RIOS WENDY
202700004,7900004,CORDERO HUANCA ARTURO
202700005,7900005,GUTIERREZ SALAZAR BRAYAN
202700006,7900006,LOPEZ REYES KAREN
202700007,7900007,HUANCA ROJAS FRANCISCO
202700008,7900008,MONTANO SANCHEZ PAOLA
202700009,7900009,NINA MONTANO CRISTIAN
202700010,7900010,SANCHEZ HUANCA OSCAR
202700011,7900011,VEGA TORRES ELENA
202700012,7900012,SANCHEZ ZARATE OSCAR
202700013,7900013,MENDOZA FERNANDEZ ARTURO
202700014,7900014,JIMENEZ PEREZ CAMILA
202700015,7900015,PINTO JIMENEZ REBECA
202700016,7900016,ESPINOZA FLORES ALEJANDRA
202700017,7900017,ZARATE MENDOZA PABLO
202700018,7900018,FLORES DOMINGUEZ ANDREA
202700019,,FLORES MAMANI NICOLAS
202700020,7900020,CORDERO VELASCO MARIA
202700021,7900021,COLQUE ALVAREZ MIGUEL
202700022,7900022,URIBE CORDERO ADRIANA
202700023,7900023,FLORES MENDOZA REBECA
202700024,7900024,NINA PEREZ SANTIAGO
202700025,7900025,GUTIERREZ NINA RICARDO
202700026,7900026,MAMANI ZARATE JOSE
202700027,7900027,SOTO LOPEZ NATALIA
202700028,7900028,IBARRA CABRERA ANDREA
202700029,7900029,CHOQUE ARCE JOSE
202700030,7900030,FERNANDEZ AGUILAR JOSE
202700031,7900031,IBARRA LIMACHI ENRIQUE
202700032,7900032,DOMINGUEZ ROJAS NICOLE
202700033,7900033,VARGAS ORTEGA MIGUEL
202700034,7900034,VARGAS ZARATE SAMUEL
202700035,7900035,SANCHEZ CORDERO MIGUEL
202700036,7900036,ROJAS FERNANDEZ CAROLINA
202700037,7900037,BENITEZ REYES FRANCISCO
202700038,7900038,MORALES PEREZ LUIS
202700039,7900039,BARRIOS AGUILAR JORGE
202700040,7900040,CORDERO BENITEZ ANA
,,NAVARRO BENITEZ PAOLA
202700042,7900042,QUISPE IBARRA FERNANDA
202700043,7900043,CESPEDES HERRERA FRANCISCO
202700044,7900044,LIMACHI PINTO ALEJANDRA
202700045,7900045,BARRIOS CONDORI ERNESTO
202700046,7900046,RIOS RIOS PAULA
202700047,7900047,BARRIOS LOPEZ ANDRES
202700048,7900048,GONZALEZ ARCE TERESA
202700049,7900049,URIBE VELASCO JOSE
202700050,7900050,CHOQUE VEGA MIGUEL
202700051,7900051,ESPINOZA ARCE ISABELLA
202700052,7900052,GONZALEZ PINTO PAOLA
202700053,7900053,CAMACHO RIOS RAUL
202700054,7900054,ORELLANA VELASCO VALENTINA
202700055,7900055,MORALES MENDOZA ANA
202700056,7900056,CESPEDES CONDORI ENRIQUE
202700057,7900057,CALLE AGUILAR JORGE
202700058,7900058,ALVAREZ FLORES SILVIA
202700059,7900059,GONZALEZ GUTIERREZ KEVIN
202700060,7900060,MONTANO LIMACHI IVAN
202700061,7900061,GUTIERREZ MARTINEZ FERNANDA
202700062,7900062,AGUILAR SANCHEZ CRISTIAN
202700063,7900063,LIMACHI GUTIERREZ JOHANA
202700064,7900064,VARGAS QUISPE RICARDO
,,SANCHEZ HUANCA LAURA
202700066,7900066,CORDERO LIMACHI PAOLA
202700067,7900067,ZARATE BENITEZ MIGUEL
202700068,7900068,VARGAS MARTINEZ JESSICA
202700069,7900069,ORTEGA MORALES KEVIN
202700070,7900070,ZARATE SANCHEZ CLAUDIA
202700071,7900071,SALAZAR ALVAREZ PATRICIA
202700072,7900072,NAVARRO FERNANDEZ CRISTIAN
202700073,7900073,SOTO FLORES OSCAR
,7900074,SALAZAR CORDERO KEVIN
202700075,7900075,PINTO COLQUE OSCAR
202700076,7900076,HUANCA ORELLANA KEVIN
202700077,,FERNANDEZ TORRES MARIA
,,CHOQUE PINTO SANTIAGO
202700079,7900079,URIBE CESPEDES PAOLA
202700080,7900080,COLQUE SALAZAR CECILIA
202700081,7900081,MORALES GUTIERREZ WENDY
202700082,7900082,MORALES PINTO JULIO
202700083,7900083,SANCHEZ URIBE SAMUEL
202700084,7900084,PEREZ HERRERA ERNESTO
202700085,7900085,VARGAS HERRERA MATEO
202700086,7900086,NAVARRO ORTEGA NICOLE
202700087,7900087,SANCHEZ SOTO JOHANA
202700088,7900088,RIOS TORRES WENDY
202700089,,
202700090,7900090,CONDORI MARTINEZ MARIANA
202700091,7900091,ALVAREZ VEGA RAUL
202700092,7900092,SANCHEZ CASTRO GABRIEL
202700093,7900093,SALAZAR TORRES LUIS
202700094,7900094,MONTANO CORDERO GABRIEL
202700095,7900095,GONZALEZ ALVAREZ KEVIN
202700096,7900096,COLQUE COLQUE HECTOR
202700097,7900097,ZARATE MARTINEZ ALAN
202700098,7900098,ROJAS COLQUE LUIS
202700099,7900099,ESPINOZA CHOQUE ANDRES
202700100,7900100,ESPINOZA VELASCO KEVIN
202700101,7900101,JIMENEZ JIMENEZ LUIS
202700102,7900102,FERNANDEZ QUISPE RAUL
202700103,7900103,SALAZAR CORDERO VALENTINA
202700104,7900104,RIOS RIOS CAROLINA
202700105,7900105,BARRIOS QUIROGA SANTIAGO
202700106,7900106,HUANCA HUANCA MIGUEL
202700107,7900107,ARCE GUTIERREZ RAUL
202700108,7900108,VELASCO CABRERA TERESA
202700109,7900109,
202700110,7900110,CORDERO ORTEGA DIEGO
202700111,7900111,ROJAS CESPEDES ALEJANDRA
202700112,7900112,LOPEZ QUISPE MARIO
202700113,7900113,SALAZAR ESPINOZA SEBASTIAN
202700114,,
202700115,7900115,PINTO RIOS KAREN
202700116,7900116,TORRES CASTRO FRANCISCO
202700117,7900117,
202700118,7900118,PINTO LIMACHI HECTOR
202700119,7900119,CAMACHO PEREZ ELENA
202700120,7900120,ORELLANA ORELLANA CLAUDIA
202700121,7900121,GUTIERREZ HERRERA ISABELLA
202700122,7900122,AGUILAR JIMENEZ SANTIAGO
202700123,7900123,JIMENEZ ESPINOZA RICARDO
202700124,7900124,LOPEZ ORELLANA ROSA
202700125,7900125,RIOS REYES TERESA
202700126,7900126,HUANCA HERRERA HECTOR
202700127,7900127,PINTO URIBE ANDREA
202700128,7900128,SANCHEZ CALLE NATALIA
202700129,7900129,HUANCA FERNANDEZ JESSICA
202700130,7900130,GUTIERREZ REYES ANA
202700131,7900131,RIOS ROJAS LORENA
202700132,7900132,FERNANDEZ PEREZ JOSE
202700133,7900133,CORDERO CAMACHO MARIA
202700134,7900134,VELASCO CASTRO RICARDO
202700135,7900135,COLQUE QUIROGA SEBASTIAN
202700136,7900136,SANCHEZ MARTINEZ ALAN
202700137,7900137,MONTANO NINA DIANA
202700138,7900138,COLQUE MORALES LAURA
202700139,7900139,ZARATE VARGAS PABLO
202700140,7900140,
202700141,7900141,PINTO NINA PABLO
202700142,7900142,CESPEDES CHOQUE HECTOR
202700143,7900143,LIMACHI FERNANDEZ CARLOS
202700144,7900144,ROJAS VARGAS ARTURO
202700145,7900145,BARRIOS CHOQUE ANDRES
202700146,7900146,ALVAREZ CESPEDES TATIANA
202700147,7900147,QUIROGA CONDORI MATEO
202700148,7900148,MONTANO HUANCA JESSICA
202700149,7900149,ORTEGA SANCHEZ LUIS
202700150,7900150,TORRES HUANCA GABRIEL
,7900151,HERRERA BENITEZ KEVIN
202700152,7900152,VEGA LOPEZ OSCAR
202700153,7900153,SALAZAR ALVAREZ TERESA
202700154,7900154,FERNANDEZ PEREZ PABLO
202700155,7900155,LIMACHI HERRERA ANDRES
202700156,7900156,NINA VEGA FERNANDA
202700157,7900157,CALLE VEGA MONICA
202700158,7900158,FLORES COLQUE RICARDO
202700159,7900159,QUISPE LIMACHI FRANCISCO
202700160,7900160,MAMANI NAVARRO DANIEL
202700161,7900161,REYES IBARRA TATIANA
202700162,7900162,SANCHEZ BARRIOS JORGE
202700163,7900163,ZARATE ORELLANA CAROLINA
,,SANCHEZ ALVAREZ BRAYAN
202700165,7900165,SOTO URIBE HECTOR
202700166,7900166,JIMENEZ HUANCA KEVIN
202700167,7900167,MORALES ZARATE JOHANA
202700168,7900168,LIMACHI VARGAS MIGUEL
202700169,7900169,PINTO QUISPE MATEO
202700170,7900170,PEREZ BARRIOS REBECA
202700171,7900171,CASTRO VARGAS PABLO
202700172,7900172,VEGA DELGADO FRANCISCO
202700173,7900173,MAMANI CESPEDES MIGUEL
202700174,7900174,
202700175,7900175,CALLE ARCE GABRIEL
202700176,7900176,GONZALEZ HUANCA JULIO
,7900177,QUIROGA LIMACHI DIEGO
202700178,7900178,SOTO JIMENEZ CARMEN
202700179,7900179,AGUILAR JIMENEZ PABLO
202700180,7900180,COLQUE ORELLANA ELENA
202700181,7900181,ZARATE CABRERA CLAUDIA
202700182,7900182,AGUILAR FERNANDEZ HUGO
202700183,7900183,CAMACHO MENDOZA JULIO
202700184,7900184,VARGAS MONTANO MIGUEL
202700185,7900185,MENDOZA CASTRO KEVIN
202700186,7900186,QUISPE MONTANO JORGE
202700187,7900187,PEREZ REYES HECTOR
202700188,7900188,GUTIERREZ GONZALEZ LAURA
202700189,7900189,HUANCA LOPEZ DIEGO
202700190,7900190,BENITEZ CASTRO RAUL
202700191,7900191,ORELLANA DOMINGUEZ LORENA
202700192,7900192,MORALES CONDORI MONICA
202700193,7900193,JIMENEZ QUISPE DIANA
202700194,7900194,FLORES VELASCO WENDY
202700195,7900195,LOPEZ MARTINEZ NICOLE
202700196,7900196,CABRERA MAMANI MARIO
202700197,7900197,NINA ARCE OSCAR
202700198,7900198,PEREZ LIMACHI DANIEL
202700199,7900199,LIMACHI ROJAS ERNESTO
