Materia: MAT101 - CALCULO I
Grupo: 3
Gestion: 2/2026

Codigo SIS,CI,Nombre Completo
202800001,8000001,RIOS REYES LUIS
202800002,8000002,TORRES BARRIOS JESSICA
202800003,8000003,RIOS DELGADO MARIANA
202800004,8000004,PEREZ MONTANO ADRIANA
202800005,8000005,CABRERA ROJAS MATEO
202800006,8000006,MONTANO GONZALEZ CAMILA
202800007,8000007,URIBE ORELLANA ANA
202800008,8000008,CASTRO ARCE ALAN
202800009,8000009,SOTO IBARRA IVAN
202800010,8000010,TORRES VARGAS LAURA
202800011,8000011,MARTINEZ NAVARRO CAROLINA
202800012,8000012,ORELLANA MENDOZA GABRIEL
202800013,8000013,QUIROGA CALLE IVAN
202800014,8000014,LOPEZ ROJAS RICARDO
202800015,8000015,DELGADO TORRES JOHANA
202800016,8000016,DELGADO HERRERA SILVIA
202800017,8000017,ESPINOZA JIMENEZ ANDREA
202800018,8000018,CAMACHO SOTO SANTIAGO
202800019,8000019,DELGADO SALAZAR HUGO
202800020,8000020,FERNANDEZ ORELLANA IVAN
202800021,8000021,ALVAREZ ROJAS HUGO
202800022,8000022,LIMACHI CONDORI VALENTINA
202800023,8000023,ARCE MAMANI CLAUDIA
202800024,8000024,GONZALEZ CAMACHO CECILIA
202800025,8000025,COLQUE BENITEZ MARIANA
202800026,8000026,CABRERA PEREZ LORENA
202800027,8000027,MONTANO LIMACHI JORGE
202800028,8000028,AGUILAR FLORES RAUL
202800029,8000029,IBARRA CASTRO ANDRES
202800030,8000030,URIBE NINA CARLOS
202800031,8000031,GONZALEZ QUISPE ANDRES
202800032,8000032,MAMANI LIMACHI CAMILA
202800033,8000033,CESPEDES REYES CECILIA
202800034,8000034,ARCE REYES CAROLINA
202800035,8000035,FLORES AGUILAR FERNANDA
202800036,8000036,NINA CABRERA DIEGO
202800037,8000037,SANCHEZ CASTRO PABLO
202800038,8000038,ORTEGA HUANCA CECILIA
202800039,8000039,QUISPE CONDORI ALAN
202800040,8000040,CAMACHO CONDORI DIEGO
202800041,8000041,DOMINGUEZ CHOQUE ADRIANA
202800042,8000042,NAVARRO HERRERA PATRICIA
202800043,8000043,FERNANDEZ CESPEDES SAMUEL
202800044,8000044,AGUILAR MONTANO ALEJANDRA
202800045,8000045,DOMINGUEZ ORELLANA MARIA
202800046,8000046,QUISPE IBARRA JULIO
202800047,8000047,ESPINOZA CORDERO NICOLAS
202800048,8000048,ARCE ORTEGA NICOLAS
202800049,8000049,ZARATE BARRIOS MARIANA
202800050,8000050,ORELLANA RIOS DANIEL
202800051,8000051,SANCHEZ JIMENEZ PEDRO
202800052,8000052,MENDOZA ROJAS GABRIEL
202800053,8000053,HERRERA CESPEDES SEBASTIAN
202800054,8000054,IBARRA ALVAREZ JOSE
202800055,8000055,ORELLANA ORELLANA ADRIANA
202800056,8000056,ARCE VARGAS OSCAR
202800057,8000057,MARTINEZ ROJAS MARIA
202800058,8000058,IBARRA REYES LUIS
202800059,8000059,QUIROGA HERRERA CAROLINA
202800060,8000060,COLQUE HUANCA JORGE
202800061,8000061,CALLE ARCE IVAN
202800062,8000062,HUANCA CALLE SOFIA
202800063,8000063,CABRERA CASTRO SANTIAGO
202800064,8000064,URIBE LIMACHI CRISTIAN
202800065,8000065,DOMINGUEZ COLQUE JOSE
202800066,8000066,GUTIERREZ CAMACHO NATALIA
202800067,8000067,NINA VEGA SOFIA
202800068,8000068,ESPINOZA FERNANDEZ ALAN
202800069,8000069,RIOS JIMENEZ LORENA
202800070,8000070,IBARRA SANCHEZ JORGE
202800071,8000071,MAMANI RIOS LORENA
202800072,8000072,TORRES LIMACHI WENDY
202800073,8000073,RIOS GUTIERREZ BRAYAN
202800074,8000074,ORELLANA PINTO DIEGO
202800075,8000075,AGUILAR AGUILAR ANDRES
202800076,8000076,GUTIERREZ HUANCA ALEJANDRA
202800077,8000077,FLORES ZARATE MARIANA
202800078,8000078,CHOQUE FLORES SAMUEL
202800079,8000079,VARGAS GUTIERREZ DIEGO
202800080,8000080,CESPEDES ROJAS ARTURO
202800081,8000081,JIMENEZ CAMACHO CECILIA
202800082,8000082,ESPINOZA FERNANDEZ FRANCISCO
202800083,8000083,FERNANDEZ GUTIERREZ MARIO
202800084,8000084,REYES REYES DIEGO
202800085,8000085,DELGADO IBARRA CECILIA
202800086,8000086,ARCE SALAZAR ROSA
202800087,8000087,CESPEDES HERRERA JULIO
202800088,8000088,MORALES CESPEDES PABLO
202800089,8000089,SOTO DOMINGUEZ ENRIQUE
202800090,8000090,RIOS URIBE HECTOR
202800091,8000091,GONZALEZ VELASCO ADRIANA
202800092,8000092,ORTEGA JIMENEZ BRAYAN
202800093,8000093,PEREZ GONZALEZ JOHANA
202800094,8000094,SALAZAR CONDORI MARCO
202800095,8000095,CORDERO SANCHEZ ANDRES
202800096,8000096,DELGADO GUTIERREZ SANTIAGO
202800097,8000097,RIOS CESPEDES JOSE
202800098,8000098,BENITEZ MARTINEZ RICARDO
202800099,8000099,PINTO CORDERO RICARDO
202800100,8000100,ZARATE MORALES TERESA
202800101,8000101,MARTINEZ JIMENEZ PEDRO
202800102,8000102,ESPINOZA JIMENEZ NATALIA
202800103,8000103,FERNANDEZ REYES JOSE
202800104,8000104,ORTEGA MAMANI WENDY
202800105,8000105,LIMACHI ZARATE CAROLINA
202800106,8000106,CONDORI URIBE RODRIGO
202800107,8000107,BARRIOS VELASCO LORENA
202800108,8000108,DOMINGUEZ JIMENEZ MARIO
202800109,8000109,CORDERO CABRERA RODRIGO
202800110,8000110,CAMACHO FERNANDEZ LUIS
202800111,8000111,HUANCA CESPEDES RICARDO
202800112,8000112,NINA RIOS ENRIQUE
202800113,8000113,FLORES SANCHEZ ALAN
202800114,8000114,CORDERO CALLE ALEJANDRA
202800115,8000115,MORALES GUTIERREZ ANDRES
202800116,8000116,TORRES CAMACHO ANDRES
202800117,8000117,QUIROGA CESPEDES KEVIN
202800118,8000118,CASTRO PEREZ TERESA
202800119,8000119,RIOS DOMINGUEZ HUGO
202800120,8000120,ORTEGA URIBE PEDRO
202800121,8000121,BARRIOS IBARRA ALEJANDRA
202800122,8000122,TORRES VARGAS ERNESTO
202800123,8000123,ALVAREZ NINA VALENTINA
202800124,8000124,MARTINEZ IBARRA DIANA
202800125,8000125,MENDOZA VEGA MIGUEL
202800126,8000126,CALLE SALAZAR MARIANA
202800127,8000127,ESPINOZA CHOQUE ADRIANA
202800128,8000128,GUTIERREZ BENITEZ ANA
202800129,8000129,ESPINOZA VARGAS SAMUEL
202800130,8000130,VELASCO CHOQUE ENRIQUE
202800131,8000131,TORRES HERRERA CAROLINA
202800132,8000132,BENITEZ VARGAS NATALIA
202800133,8000133,DELGADO CABRERA PAULA
202800134,8000134,PINTO CONDORI SAMUEL
202800135,8000135,GUTIERREZ GONZALEZ LAURA
202800136,8000136,GUTIERREZ ARCE PAOLA
202800137,8000137,QUIROGA FERNANDEZ NATALIA
202800138,8000138,URIBE REYES HUGO
202800139,8000139,PEREZ ZARATE SILVIA
202800140,8000140,ESPINOZA CALLE PAULA
202800141,8000141,QUIROGA CALLE ANDRES
202800142,8000142,BARRIOS MORALES MATEO
202800143,8000143,SOTO AGUILAR MARCO
202800144,8000144,QUISPE GONZALEZ DANIEL
202800145,8000145,ROJAS NAVARRO DANIEL
202800146,8000146,RIOS JIMENEZ SEBASTIAN
202800147,8000147,MARTINEZ BARRIOS ELENA
202800148,8000148,LIMACHI CORDERO JESSICA
202800149,8000149,CAMACHO VELASCO KAREN
202800150,8000150,MONTANO VARGAS LORENA
202800151,8000151,HUANCA ESPINOZA FERNANDA
202800152,8000152,HUANCA MONTANO FRANCISCO
202800153,8000153,ORELLANA SANCHEZ RAUL
202800154,8000154,MORALES CALLE ROSA
202800155,8000155,URIBE LIMACHI ELENA
202800156,8000156,CASTRO DOMINGUEZ KAREN
202800157,8000157,TORRES ESPINOZA CECILIA
202800158,8000158,CABRERA RIOS LAURA
202800159,8000159,MAMANI LIMACHI BRAYAN
