Docente: Lic. Fernando Quiroga López
Email Docente: fernando.quiroga@umss.edu.bo
Materia: FIS100 - FISICA BASICA
Grupo: 1
Gestion: 2/2026

Codigo,Carnet,Alumno
202900001,8100001,LIMACHI BARRIOS ALAN
202900002,8100002,BARRIOS MAMANI HECTOR
202900003,8100003,QUIROGA FLORES BRAYAN
202900004,8100004,NAVARRO DELGADO RODRIGO
202900005,8100005,ROJAS DOMINGUEZ CAMILA
202900006,8100006,CONDORI SALAZAR JOHANA
202900007,8100007,VEGA QUIROGA SOFIA
202900008,8100008,TORRES FERNANDEZ VALENTINA
202900009,8100009,SANCHEZ HUANCA RODRIGO
202900010,8100010,JIMENEZ GUTIERREZ TATIANA
202900011,8100011,PEREZ HUANCA LAURA
202900012,8100012,BENITEZ FLORES MARCO
202900013,8100013,CHOQUE CALLE LUIS
202900014,8100014,QUISPE MAMANI CECILIA
202900015,8100015,CONDORI PEREZ MARIO
202900016,8100016,VARGAS GONZALEZ JOSE
202900017,8100017,ORELLANA JIMENEZ JULIO
202900018,8100018,CASTRO TORRES CAMILA
202900019,8100019,PINTO IBARRA FRANCISCO
202900020,8100020,HUANCA CABRERA FRANCISCO
202900021,8100021,FERNANDEZ BENITEZ PEDRO
202900022,8100022,ORTEGA JIMENEZ ERNESTO
202900023,8100023,GUTIERREZ HERRERA WENDY
202900024,8100024,QUISPE URIBE HECTOR
202900025,8100025,DOMINGUEZ QUISPE VALENTINA
202900026,8100026,MONTANO ORELLANA CAROLINA
202900027,8100027,ESPINOZA HERRERA SAMUEL
202900028,8100028,RIOS MENDOZA JESSICA
202900029,8100029,MONTANO CALLE MARIA
202900030,8100030,VEGA JIMENEZ OSCAR
202900031,8100031,GUTIERREZ ALVAREZ MONICA
202900032,8100032,QUISPE VELASCO ADRIANA
202900033,8100033,MARTINEZ CESPEDES CAROLINA
202900034,8100034,QUIROGA CONDORI MARIO
202900035,8100035,QUIROGA MENDOZA JORGE
202900036,8100036,ORELLANA CALLE BRAYAN
202900037,8100037,MAMANI COLQUE MARIA
202900038,8100038,MONTANO MAMANI ANA
202900039,8100039,ROJAS REYES CECILIA
202900040,8100040,MORALES ORELLANA MARIA
202900041,8100041,MORALES QUISPE JORGE
202900042,8100042,BARRIOS ARCE SOFIA
202900043,8100043,IBARRA CASTRO JULIO
202900044,8100044,MENDOZA ZARATE ADRIANA
202900045,8100045,BARRIOS CAMACHO SEBASTIAN
202900046,8100046,PINTO COLQUE ANDREA
202900047,8100047,DELGADO IBARRA NICOLE
202900048,8100048,VEGA BARRIOS JORGE
202900049,8100049,CASTRO TORRES SAMUEL
202900050,8100050,CASTRO ORELLANA ISABELLA
202900051,8100051,CASTRO VARGAS ISABELLA
202900052,8100052,CALLE CHOQUE TERESA
202900053,8100053,ROJAS CASTRO FRANCISCO
202900054,8100054,TORRES MORALES MATEO
202900055,8100055,AGUILAR ZARATE LUIS
202900056,8100056,HERRERA DELGADO RICARDO
202900057,8100057,GUTIERREZ CHOQUE CECILIA
202900058,8100058,MAMANI ZARATE ALAN
202900059,8100059,NINA PINTO NICOLE
202900060,8100060,CONDORI DELGADO JESSICA
202900061,8100061,SANCHEZ DELGADO CRISTIAN
202900062,8100062,SOTO GUTIERREZ MARIO
202900063,8100063,GUTIERREZ RIOS MARIO
202900064,8100064,MENDOZA TORRES NICOLE
202900065,8100065,GONZALEZ FERNANDEZ LORENA
202900066,8100066,CESPEDES TORRES LORENA
202900067,8100067,HUANCA RIOS TERESA
202900068,8100068,LOPEZ PINTO ENRIQUE
202900069,8100069,MORALES HUANCA ALAN
202900070,8100070,SOTO MORALES ANA
202900071,8100071,SANCHEZ MONTANO DIANA
202900072,8100072,ESPINOZA CESPEDES ROSA
202900073,8100073,CONDORI CALLE NATALIA
202900074,8100074,BENITEZ JIMENEZ RODRIGO
202900075,8100075,CASTRO IBARRA ALAN
202900076,8100076,QUISPE BARRIOS JORGE
202900077,8100077,CONDORI MAMANI IVAN
202900078,8100078,RIOS JIMENEZ CARLOS
202900079,8100079,CONDORI CONDORI KAREN
202900080,8100080,CORDERO ESPINOZA ALAN
202900081,8100081,QUIROGA CONDORI CAMILA
202900082,8100082,VARGAS AGUILAR HUGO
202900083,8100083,QUISPE HERRERA PATRICIA
202900084,8100084,REYES MARTINEZ JOSE
202900085,8100085,QUIROGA MAMANI JESSICA
202900086,8100086,ROJAS BARRIOS VALENTINA
202900087,8100087,VEGA HUANCA CLAUDIA
202900088,8100088,CABRERA TORRES ALEJANDRA
202900089,8100089,NAVARRO HERRERA KEVIN
202900090,8100090,ESPINOZA HUANCA CAMILA
202900091,8100091,VEGA HUANCA SEBASTIAN
202900092,8100092,DELGADO CAMACHO LAURA
202900093,8100093,CESPEDES MORALES ARTURO
202900094,8100094,SALAZAR MENDOZA JORGE
202900095,8100095,URIBE LOPEZ MONICA
202900096,8100096,ORELLANA CONDORI SEBASTIAN
202900097,8100097,PEREZ HERRERA TATIANA
202900098,8100098,ORELLANA IBARRA ISABELLA
202900099,8100099,ORELLANA NINA OSCAR
202900100,8100100,CONDORI SALAZAR JOSE
202900101,8100101,LIMACHI DELGADO CECILIA
202900102,8100102,CABRERA FERNANDEZ GABRIEL
202900103,8100103,URIBE CHOQUE JORGE
202900104,8100104,QUIROGA FLORES JOHANA
202900105,8100105,VELASCO ESPINOZA PABLO
202900106,8100106,VARGAS AGUILAR GABRIEL
202900107,8100107,HUANCA LIMACHI ELENA
202900108,8100108,MORALES IBARRA CRISTIAN
202900109,8100109,BARRIOS IBARRA NICOLE
202900110,8100110,CALLE DOMINGUEZ DIANA
202900111,8100111,QUIROGA JIMENEZ VALENTINA
202900112,8100112,LOPEZ LOPEZ RAUL
202900113,8100113,VEGA PEREZ LORENA
202900114,8100114,QUIROGA TORRES MARCO
202900115,8100115,ROJAS NAVARRO MARIO
202900116,8100116,IBARRA MONTANO PATRICIA
202900117,8100117,CABRERA MENDOZA RAUL
202900118,8100118,CALLE AGUILAR LAURA
202900119,8100119,ARCE ARCE PAULA
202900120,8100120,LOPEZ CESPEDES FERNANDA
202900121,8100121,VELASCO CASTRO SILVIA
202900122,8100122,FERNANDEZ CASTRO JOSE
202900123,8100123,AGUILAR ORTEGA CLAUDIA
202900124,8100124,CABRERA MONTANO CAROLINA
202900125,8100125,NINA MONTANO JOSE
202900126,8100126,AGUILAR URIBE MONICA
202900127,8100127,QUISPE DELGADO JOHANA
202900128,8100128,URIBE LIMACHI NATALIA
202900129,8100129,PINTO DOMINGUEZ ELENA
202900130,8100130,HUANCA FLORES RODRIGO
202900131,8100131,LIMACHI ORTEGA JOHANA
202900132,8100132,RIOS JIMENEZ SILVIA
202900133,8100133,VEGA VARGAS ARTURO
202900134,8100134,CHOQUE IBARRA MARCO
202900135,8100135,CALLE SALAZAR CECILIA
202900136,8100136,VARGAS QUISPE SOFIA
202900137,8100137,HERRERA SANCHEZ ANDREA
202900138,8100138,QUISPE JIMENEZ KAREN
202900139,8100139,DOMINGUEZ TORRES DIEGO
202900140,8100140,CABRERA FLORES REBECA
202900141,8100141,LOPEZ VARGAS PAOLA
202900142,8100142,NAVARRO CORDERO ARTURO
202900143,8100143,NINA CALLE RODRIGO
202900144,8100144,NINA URIBE ANDREA
202900145,8100145,BENITEZ FERNANDEZ JESSICA
202900146,8100146,CALLE LIMACHI HUGO
202900147,8100147,ORTEGA ARCE OSCAR
202900148,8100148,DOMINGUEZ DOMINGUEZ ADRIANA
202900149,8100149,NINA RIOS HECTOR
202900150,8100150,TORRES MENDOZA FRANCISCO
202900151,8100151,GONZALEZ GUTIERREZ CARMEN
202900152,8100152,ROJAS SOTO CAMILA
202900153,8100153,CORDERO CHOQUE IVAN
202900154,8100154,CASTRO CHOQUE IVAN
202900155,8100155,VELASCO SALAZAR LUIS
202900156,8100156,CONDORI SALAZAR MATEO
202900157,8100157,ESPINOZA MAMANI HECTOR
202900158,8100158,HUANCA CORDERO BRAYAN
202900159,8100159,CABRERA CAMACHO PATRICIA
202900160,8100160,IBARRA GONZALEZ VALENTINA
202900161,8100161,CONDORI ORELLANA HUGO
202900162,8100162,SALAZAR CONDORI SILVIA
202900163,8100163,NAVARRO RIOS DANIEL
202900164,8100164,CHOQUE CALLE TATIANA
202900165,8100165,CASTRO CASTRO ANA
202900166,8100166,VEGA ZARATE CAMILA
202900167,8100167,QUIROGA LIMACHI FRANCISCO
202900168,8100168,RIOS CALLE FERNANDA
202900169,8100169,VARGAS CABRERA CAMILA
202900170,8100170,LOPEZ CHOQUE ARTURO
202900171,8100171,ARCE ZARATE RAUL
202900172,8100172,CALLE MENDOZA BRAYAN
202900173,8100173,VEGA VELASCO KEVIN
202900174,8100174,COLQUE BENITEZ RAUL
202900175,8100175,ZARATE CAMACHO CECILIA
202900176,8100176,FLORES ARCE ANDRES
202900177,8100177,ORELLANA SOTO TERESA
202900178,8100178,RIOS COLQUE JOSE
202900179,8100179,AGUILAR ORELLANA CLAUDIA
202900180,8100180,SOTO DOMINGUEZ MARIANA
202900181,8100181,LOPEZ QUIROGA JOHANA
202900182,8100182,JIMENEZ CAMACHO MIGUEL
202900183,8100183,CASTRO VELASCO PAOLA
202900184,8100184,NAVARRO BENITEZ ANDRES
202900185,8100185,VARGAS FLORES ALAN
202900186,8100186,FLORES PINTO FERNANDA
202900187,8100187,FLORES CALLE NICOLAS
202900188,8100188,REYES SOTO FRANCISCO
202900189,8100189,VEGA IBARRA ROSA
202900190,8100190,ORTEGA SALAZAR CRISTIAN
202900191,8100191,CESPEDES COLQUE LORENA
202900192,8100192,MAMANI VARGAS WENDY
202900193,8100193,LIMACHI MENDOZA SEBASTIAN
202900194,8100194,MENDOZA MORALES SILVIA
202900195,8100195,CABRERA COLQUE CLAUDIA
202900196,8100196,QUISPE SANCHEZ MATEO
202900197,8100197,PEREZ URIBE RAUL
202900198,8100198,VEGA ORTEGA HECTOR
202900199,8100199,VARGAS COLQUE KEVIN
202900200,8100200,SALAZAR ORELLANA MARCO
