Docente: Dr. Roberto Salazar Vargas
Email Docente: roberto.salazar@umss.edu.bo
Materia: INF110 - INTRODUCCION A LA PROGRAMACION
Grupo: 1
Gestion: 2/2026

Codigo SIS,CI,Nombre Completo
203000001,8200001,TORRES HERRERA PATRICIA
203000002,8200002,CHOQUE MORALES MIGUEL
203000003,8200003,TORRES CASTRO DANIEL
203000004,8200004,VEGA FERNANDEZ HECTOR
203000005,8200005,HUANCA AGUILAR MARCO
203000006,8200006,REYES COLQUE ERNESTO
203000007,8200007,NAVARRO MENDOZA ALEJANDRA
203000008,8200008,SALAZAR PINTO RICARDO
203000009,8200009,IBARRA GONZALEZ RICARDO
203000010,8200010,QUISPE DOMINGUEZ OSCAR
203000011,8200011,PEREZ MONTANO WENDY
203000012,8200012,DOMINGUEZ GONZALEZ MARIANA
203000013,8200013,ZARATE VEGA PABLO
203000014,8200014,GONZALEZ CAMACHO FRANCISCO
203000015,8200015,ALVAREZ SALAZAR CAMILA
203000016,8200016,FLORES AGUILAR RODRIGO
203000017,8200017,COLQUE AGUILAR FRANCISCO
203000018,8200018,CORDERO TORRES ISABELLA
203000019,8200019,TORRES AGUILAR LORENA
203000020,8200020,BARRIOS FERNANDEZ ROSA
203000021,8200021,MENDOZA REYES MARIANA
203000022,8200022,MARTINEZ FLORES CARLOS
203000023,8200023,CASTRO CHOQUE SEBASTIAN
203000024,8200024,MARTINEZ REYES JESSICA
203000025,8200025,CASTRO ALVAREZ MONICA
203000026,8200026,VELASCO RIOS RAUL
203000027,8200027,ZARATE TORRES SOFIA
203000028,8200028,AGUILAR MENDOZA SAMUEL
203000029,8200029,NINA IBARRA WENDY
203000030,8200030,LIMACHI SANCHEZ BRAYAN
203000031,8200031,DELGADO HERRERA MATEO
203000032,8200032,LOPEZ SOTO JULIO
203000033,8200033,AGUILAR ROJAS SAMUEL
203000034,8200034,ALVAREZ REYES NICOLE
203000035,8200035,ORELLANA TORRES SILVIA
203000036,8200036,MARTINEZ CABRERA MATEO
203000037,8200037,GUTIERREZ CALLE NATALIA
203000038,8200038,FERNANDEZ CHOQUE LORENA
203000039,8200039,MARTINEZ IBARRA DIEGO
203000040,8200040,VARGAS QUISPE JOHANA
203000041,8200041,ROJAS MAMANI PEDRO
203000042,8200042,HUANCA CORDERO OSCAR
203000043,8200043,ZARATE URIBE RICARDO
203000044,8200044,ROJAS AGUILAR CARMEN
203000045,8200045,PINTO QUISPE IVAN
203000046,8200046,CESPEDES HERRERA ROSA
203000047,8200047,URIBE LOPEZ ANDREA
203000048,8200048,CAMACHO CALLE NATALIA
203000049,8200049,PINTO HERRERA TERESA
203000050,8200050,CONDORI CABRERA MONICA
203000051,8200051,PEREZ IBARRA SANTIAGO
203000052,8200052,JIMENEZ LIMACHI JOHANA
203000053,8200053,FLORES PINTO CECILIA
203000054,8200054,CORDERO MENDOZA FRANCISCO
203000055,8200055,CORDERO QUISPE ALEJANDRA
203000056,8200056,QUIROGA HUANCA MARIO
203000057,8200057,VEGA CONDORI WENDY
203000058,8200058,VELASCO HERRERA ELENA
203000059,8200059,SALAZAR CALLE ROSA
203000060,8200060,VELASCO MENDOZA ISABELLA
203000061,8200061,LOPEZ VARGAS FERNANDA
203000062,8200062,HUANCA HERRERA CRISTIAN
203000063,8200063,VEGA ARCE NICOLAS
203000064,8200064,FERNANDEZ CALLE KEVIN
203000065,8200065,DELGADO DOMINGUEZ KAREN
203000066,8200066,IBARRA CALLE SAMUEL
203000067,8200067,LIMACHI VELASCO CAROLINA
203000068,8200068,SALAZAR LIMACHI ROSA
203000069,8200069,SOTO BENITEZ TERESA
203000070,8200070,ROJAS ALVAREZ HUGO
203000071,8200071,ARCE ESPINOZA ALEJANDRA
203000072,8200072,GUTIERREZ MORALES ANA
203000073,8200073,MENDOZA DOMINGUEZ JORGE
203000074,8200074,COLQUE CASTRO JORGE
203000075,8200075,FLORES MARTINEZ HECTOR
203000076,8200076,BARRIOS AGUILAR CAMILA
203000077,8200077,CONDORI MAMANI CAROLINA
203000078,8200078,MAMANI MAMANI KAREN
203000079,8200079,CAMACHO CESPEDES MARIO
203000080,8200080,AGUILAR MORALES CAMILA
203000081,8200081,MARTINEZ MENDOZA VALENTINA
203000082,8200082,QUIROGA IBARRA HUGO
203000083,8200083,ALVAREZ CORDERO SANTIAGO
203000084,8200084,URIBE LIMACHI MARIA
203000085,8200085,MENDOZA MAMANI ENRIQUE
203000086,8200086,QUISPE LIMACHI MARIANA
203000087,8200087,JIMENEZ SANCHEZ MARCO
203000088,8200088,SOTO CORDERO MATEO
203000089,8200089,CASTRO DELGADO ANDRES
203000090,8200090,CABRERA BARRIOS CAROLINA
203000091,8200091,QUISPE ORTEGA MARIA
203000092,8200092,GONZALEZ RIOS JORGE
203000093,8200093,HUANCA RIOS CARLOS
203000094,8200094,QUISPE REYES LUIS
203000095,8200095,CHOQUE HUANCA ANA
203000096,8200096,MENDOZA ORTEGA MARIANA
203000097,8200097,IBARRA CALLE ROSA
203000098,8200098,PEREZ SOTO MONICA
203000099,8200099,VELASCO RIOS ARTURO
203000100,8200100,QUISPE URIBE LORENA
203000101,8200101,CESPEDES QUIROGA DANIEL
203000102,8200102,FLORES URIBE SANTIAGO
203000103,8200103,DOMINGUEZ SALAZAR PATRICIA
203000104,8200104,MONTANO CAMACHO SEBASTIAN
203000105,8200105,SALAZAR NINA ENRIQUE
203000106,8200106,MORALES AGUILAR LUIS
203000107,8200107,ORELLANA QUIROGA MIGUEL
203000108,8200108,PINTO FLORES ARTURO
203000109,8200109,JIMENEZ URIBE PABLO
203000110,8200110,MARTINEZ CORDERO MIGUEL
203000111,8200111,QUISPE PEREZ FRANCISCO
203000112,8200112,VEGA JIMENEZ RAUL
203000113,8200113,DOMINGUEZ SALAZAR ANDREA
203000114,8200114,FLORES SALAZAR PABLO
203000115,8200115,IBARRA MAMANI WENDY
203000116,8200116,ROJAS ORTEGA PAOLA
203000117,8200117,AGUILAR FERNANDEZ JULIO
203000118,8200118,CONDORI FERNANDEZ KAREN
203000119,8200119,DOMINGUEZ SANCHEZ MATEO
203000120,8200120,CAMACHO RIOS MIGUEL
203000121,8200121,ESPINOZA NAVARRO ANA
203000122,8200122,COLQUE ORTEGA ALEJANDRA
203000123,8200123,URIBE ALVAREZ JULIO
203000124,8200124,NAVARRO REYES ALEJANDRA
203000125,8200125,REYES CORDERO VALENTINA
203000126,8200126,QUISPE PINTO JOHANA
203000127,8200127,CHOQUE QUISPE NICOLAS
203000128,8200128,BARRIOS TORRES LORENA
203000129,8200129,LIMACHI MENDOZA MIGUEL
203000130,8200130,URIBE ROJAS ADRIANA
203000131,8200131,CALLE NINA IVAN
203000132,8200132,GONZALEZ DELGADO ANDREA
203000133,8200133,CORDERO VARGAS FRANCISCO
203000134,8200134,CONDORI VARGAS NICOLAS
203000135,8200135,CASTRO VELASCO PABLO
203000136,8200136,REYES JIMENEZ SANTIAGO
203000137,8200137,ROJAS SALAZAR MARIA
203000138,8200138,TORRES JIMENEZ CAROLINA
203000139,8200139,ZARATE PEREZ ISABELLA
203000140,8200140,VELASCO QUISPE MIGUEL
203000141,8200141,SALAZAR AGUILAR JESSICA
203000142,8200142,ROJAS CORDERO SILVIA
203000143,8200143,SOTO AGUILAR KEVIN
203000144,8200144,LIMACHI LOPEZ KEVIN
203000145,8200145,LOPEZ IBARRA ADRIANA
203000146,8200146,MARTINEZ MENDOZA KEVIN
203000147,8200147,QUIROGA CASTRO ROSA
203000148,8200148,CESPEDES DOMINGUEZ ELENA
203000149,8200149,FLORES IBARRA PEDRO
203000150,8200150,ESPINOZA VEGA MARIANA
203000151,8200151,ALVAREZ ORTEGA FERNANDA
203000152,8200152,LIMACHI CONDORI BRAYAN
203000153,8200153,CABRERA MONTANO ROSA
203000154,8200154,CESPEDES NINA JOHANA
203000155,8200155,ALVAREZ MENDOZA MARIA
203000156,8200156,ALVAREZ BENITEZ PABLO
203000157,8200157,SOTO SANCHEZ WENDY
203000158,8200158,BENITEZ CALLE HECTOR
203000159,8200159,DELGADO MARTINEZ DIANA
203000160,8200160,GONZALEZ QUIROGA SOFIA
203000161,8200161,QUISPE NAVARRO FERNANDA
