codigo_sis,ci,nombre_completo,sigla_materia,nombre_materia,grupo,gestion,email_docente
202400001,7000001,"Romero Rojas Daniela Ana",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400002,7000002,"Gutierrez Rodriguez Jorge Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400003,7000003,"Clarac Quispe Pedro Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400004,7000004,"Gomez Torrico Carlos Jorge",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400005,7000005,"Mendoza Castillo Lucia Ricardo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400006,7000006,"Gutierrez Rojas Gabriela Paola",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400007,7000007,"Quispe Gutierrez Paola Pedro",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400008,7000008,"Fernandez Vargas Juan Jorge",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400009,7000009,"Flores Romero Maria Andres",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400010,7000010,"Villarroel Castillo Carlos Ricardo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400011,7000011,"Castillo Castillo Lucia Ricardo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400012,7000012,"Rojas Mamani Fernando Juan",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400013,7000013,"Flores Castillo Valeria Ana",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400014,7000014,"Mendoza Morales Pedro Gabriela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400015,7000015,"Castillo Romero Ana Valeria",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400016,7000016,"Castillo Rojas Carlos Daniela",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400017,7000017,"Mendoza Fernandez Gabriela Diego",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400018,7000018,"Lopez Fernandez Miguel Elena",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400019,7000019,"Clarac Mendoza Elena Rodrigo",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400020,7000020,"Clarac Fernandez Jorge Juan",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400021,7000021,"Chavez Quispe Jorge Juan",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
202400022,7000022,"Mamani Flores Juan Fernando",INF110,"Introduccion a la Programacion",1,2/2026,docente.titular@fcyt.umss.edu.bo
